pair,nunata,ishizu,choi,n+i,n+i+c,,,,,,,,,,,
1,1,1,1,2,3,,,,,,,,,,,
2,1,0,1,1,2,,,,,,,,,,,
3,0,0,0,0,0,,,,,,,,,,,
4,0,0,0,0,0,,,,,,,,,,,
5,1,0,1,1,2,,,,,,,ishizu,,,,
6,0,0,0,0,0,,,,,,TRUE,FALSE,total,,,
7,0,0,0,0,0,,,,,TRUE,77,123,200,,Po,0.52962963
8,1,1,1,2,3,,,,numata,FALSE,4,66,70,,Pe,0.403703704
9,1,1,1,2,3,,,,,total,81,189,270,,k,0.211180124
10,1,0,1,1,2,,,,,,,,,,,poor
11,0,0,0,0,0,,,,,,,,,,,
12,0,0,0,0,0,,,,,,,choi,,,,
13,0,0,0,0,0,,,,,,TRUE,FALSE,total,,,
14,1,1,1,2,3,,,,,TRUE,177,23,200,,Po,0.848148148
15,1,0,1,1,2,,,,numta,FALSE,18,52,70,,Pe,0.606995885
16,1,0,1,1,2,,,,,total,195,75,270,,k,0.613612565
17,1,1,1,2,3,,,,,,,,,,,good
18,1,1,1,2,3,,,,,,,,,,,
19,1,1,1,2,3,,,,,,,choi,,,,
20,1,0,1,1,2,,,,,,TRUE,FALSE,total,,,
21,1,0,1,1,2,,,,,TRUE,78,3,81,,Po,0.555555556
22,1,1,1,2,3,,,,ishizu,FALSE,117,72,189,,Pe,0.411111111
23,1,1,1,2,3,,,,,total,195,75,270,,k,0.245283019
24,1,1,1,2,3,,,,,,,,,,,poor
25,1,0,1,1,2,,,,,,,,,,,
26,1,1,1,2,3,,,,,,,,,,,
27,1,0,0,1,1,,,,,,,,,,avg(k),0.356691903
28,1,0,0,1,1,,,,,,,,,,,poor
29,1,0,1,1,2,,,,,,,,,,,
30,1,0,1,1,2,,,,,,,,,,,
31,0,0,1,0,1,,,,,,,,,,,
32,1,0,1,1,2,,,,,,,,,,,
33,1,0,1,1,2,,,,,,,,,,,
34,1,1,1,2,3,,,,,,,,,,,
35,1,0,1,1,2,,,,,,,,,,,
36,1,0,1,1,2,,,,,,,,,,,
37,1,1,1,2,3,,,,,,,,,,,
38,1,1,1,2,3,,,,,,,,,,,
39,1,0,1,1,2,,,,,,,,,,,
40,0,1,1,1,2,,,,,,,,,,,
41,1,0,1,1,2,,,,,,,,,,,
42,1,0,1,1,2,,,,,,,,,,,
43,1,1,1,2,3,,,,,,,,,,,
44,0,0,1,0,1,,,,,,,,,,,
45,1,1,1,2,3,,,,,,,,,,,
46,1,0,1,1,2,,,,,,,,,,,
47,1,1,1,2,3,,,,,,,,,,,
48,1,0,1,1,2,,,,,,,,,,,
49,1,1,1,2,3,,,,,,,,,,,
50,1,0,1,1,2,,,,,,,,,,,
51,1,1,1,2,3,,,,,,,,,,,
52,1,0,1,1,2,,,,,,,,,,,
53,1,0,0,1,1,,,,,,,,,,,
54,1,1,1,2,3,,,,,,,,,,,
55,1,1,1,2,3,,,,,,,,,,,
56,1,1,1,2,3,,,,,,,,,,,
57,1,1,1,2,3,,,,,,,,,,,
58,1,1,1,2,3,,,,,,,,,,,
59,1,1,1,2,3,,,,,,,,,,,
60,0,0,1,0,1,,,,,,,,,,,
61,1,0,1,1,2,,,,,,,,,,,
62,0,0,1,0,1,,,,,,,,,,,
63,1,0,1,1,2,,,,,,,,,,,
64,0,0,0,0,0,,,,,,,,,,,
65,1,0,1,1,2,,,,,,,,,,,
66,1,1,1,2,3,,,,,,,,,,,
67,1,0,1,1,2,,,,,,,,,,,
68,1,1,1,2,3,,,,,,,,,,,
69,1,1,1,2,3,,,,,,,,,,,
70,1,1,1,2,3,,,,,,,,,,,
71,1,0,1,1,2,,,,,,,,,,,
72,0,0,1,0,1,,,,,,,,,,,
73,1,0,1,1,2,,,,,,,,,,,
74,1,1,1,2,3,,,,,,,,,,,
75,1,0,1,1,2,,,,,,,,,,,
76,1,0,1,1,2,,,,,,,,,,,
77,1,1,1,2,3,,,,,,,,,,,
78,1,0,1,1,2,,,,,,,,,,,
79,1,1,1,2,3,,,,,,,,,,,
80,1,0,1,1,2,,,,,,,,,,,
81,1,1,1,2,3,,,,,,,,,,,
82,1,1,1,2,3,,,,,,,,,,,
83,1,1,1,2,3,,,,,,,,,,,
84,1,1,1,2,3,,,,,,,,,,,
85,1,0,1,1,2,,,,,,,,,,,
86,1,0,1,1,2,,,,,,,,,,,
87,1,0,1,1,2,,,,,,,,,,,
88,1,1,1,2,3,,,,,,,,,,,
89,1,1,1,2,3,,,,,,,,,,,
90,1,0,1,1,2,,,,,,,,,,,
91,0,0,1,0,1,,,,,,,,,,,
92,0,1,1,1,2,,,,,,,,,,,
93,0,0,1,0,1,,,,,,,,,,,
94,1,0,0,1,1,,,,,,,,,,,
95,1,0,0,1,1,,,,,,,,,,,
96,1,0,0,1,1,,,,,,,,,,,
97,1,0,0,1,1,,,,,,,,,,,
98,1,0,0,1,1,,,,,,,,,,,
99,1,0,0,1,1,,,,,,,,,,,
100,1,0,0,1,1,,,,,,,,,,,
101,1,0,0,1,1,,,,,,,,,,,
102,1,1,1,2,3,,,,,,,,,,,
103,1,0,0,1,1,,,,,,,,,,,
104,1,0,0,1,1,,,,,,,,,,,
105,1,0,0,1,1,,,,,,,,,,,
106,1,1,0,2,2,,,,,,,,,,,
107,0,0,1,0,1,,,,,,,,,,,
108,0,0,0,0,0,,,,,,,,,,,
109,0,0,0,0,0,,,,,,,,,,,
110,0,0,0,0,0,,,,,,,,,,,
111,0,0,0,0,0,,,,,,,,,,,
112,0,1,0,1,1,,,,,,,,,,,
113,0,0,0,0,0,,,,,,,,,,,
114,0,0,0,0,0,,,,,,,,,,,
115,0,0,0,0,0,,,,,,,,,,,
116,0,0,0,0,0,,,,,,,,,,,
117,0,0,0,0,0,,,,,,,,,,,
118,0,0,0,0,0,,,,,,,,,,,
119,0,0,0,0,0,,,,,,,,,,,
120,1,0,1,1,2,,,,,,,,,,,
121,1,1,1,2,3,,,,,,,,,,,
122,0,0,0,0,0,,,,,,,,,,,
123,1,0,1,1,2,,,,,,,,,,,
124,1,0,1,1,2,,,,,,,,,,,
125,1,0,1,1,2,,,,,,,,,,,
126,1,1,1,2,3,,,,,,,,,,,
127,1,0,1,1,2,,,,,,,,,,,
128,0,0,0,0,0,,,,,,,,,,,
129,1,0,1,1,2,,,,,,,,,,,
130,1,1,1,2,3,,,,,,,,,,,
131,1,0,1,1,2,,,,,,,,,,,
132,1,1,1,2,3,,,,,,,,,,,
133,1,1,1,2,3,,,,,,,,,,,
134,1,0,1,1,2,,,,,,,,,,,
135,1,1,1,2,3,,,,,,,,,,,
136,1,1,1,2,3,,,,,,,,,,,
137,1,1,1,2,3,,,,,,,,,,,
138,0,0,1,0,1,,,,,,,,,,,
139,1,0,1,1,2,,,,,,,,,,,
140,1,1,1,2,3,,,,,,,,,,,
141,0,0,0,0,0,,,,,,,,,,,
142,1,1,1,2,3,,,,,,,,,,,
143,1,1,1,2,3,,,,,,,,,,,
144,1,1,1,2,3,,,,,,,,,,,
145,1,0,1,1,2,,,,,,,,,,,
146,1,0,1,1,2,,,,,,,,,,,
147,0,0,1,0,1,,,,,,,,,,,
148,1,0,1,1,2,,,,,,,,,,,
149,1,0,1,1,2,,,,,,,,,,,
150,1,1,1,2,3,,,,,,,,,,,
151,1,1,1,2,3,,,,,,,,,,,
152,1,1,1,2,3,,,,,,,,,,,
153,1,1,1,2,3,,,,,,,,,,,
154,1,0,1,1,2,,,,,,,,,,,
155,1,1,1,2,3,,,,,,,,,,,
156,1,1,1,2,3,,,,,,,,,,,
157,1,1,1,2,3,,,,,,,,,,,
158,1,0,1,1,2,,,,,,,,,,,
159,0,0,0,0,0,,,,,,,,,,,
160,0,0,0,0,0,,,,,,,,,,,
161,1,0,0,1,1,,,,,,,,,,,
162,1,1,1,2,3,,,,,,,,,,,
163,1,0,0,1,1,,,,,,,,,,,
164,1,0,1,1,2,,,,,,,,,,,
165,0,0,0,0,0,,,,,,,,,,,
166,0,0,0,0,0,,,,,,,,,,,
167,0,0,0,0,0,,,,,,,,,,,
168,1,0,1,1,2,,,,,,,,,,,
169,1,0,1,1,2,,,,,,,,,,,
170,1,0,1,1,2,,,,,,,,,,,
171,1,0,1,1,2,,,,,,,,,,,
172,0,0,0,0,0,,,,,,,,,,,
173,1,0,1,1,2,,,,,,,,,,,
174,1,0,0,1,1,,,,,,,,,,,
175,0,0,1,0,1,,,,,,,,,,,
176,0,0,0,0,0,,,,,,,,,,,
177,0,0,0,0,0,,,,,,,,,,,
178,1,0,1,1,2,,,,,,,,,,,
179,0,0,1,0,1,,,,,,,,,,,
180,1,1,1,2,3,,,,,,,,,,,
181,1,0,1,1,2,,,,,,,,,,,
182,1,0,1,1,2,,,,,,,,,,,
183,1,0,1,1,2,,,,,,,,,,,
184,1,0,1,1,2,,,,,,,,,,,
185,1,0,1,1,2,,,,,,,,,,,
186,1,0,1,1,2,,,,,,,,,,,
187,1,0,1,1,2,,,,,,,,,,,
188,1,0,1,1,2,,,,,,,,,,,
189,1,0,1,1,2,,,,,,,,,,,
190,1,0,1,1,2,,,,,,,,,,,
191,1,0,1,1,2,,,,,,,,,,,
192,1,0,1,1,2,,,,,,,,,,,
193,1,0,1,1,2,,,,,,,,,,,
194,1,0,1,1,2,,,,,,,,,,,
195,1,0,1,1,2,,,,,,,,,,,
196,1,0,1,1,2,,,,,,,,,,,
197,1,0,1,1,2,,,,,,,,,,,
198,1,0,1,1,2,,,,,,,,,,,
199,1,0,1,1,2,,,,,,,,,,,
200,1,0,1,1,2,,,,,,,,,,,
201,1,0,1,1,2,,,,,,,,,,,
202,1,0,1,1,2,,,,,,,,,,,
203,1,0,1,1,2,,,,,,,,,,,
204,1,0,1,1,2,,,,,,,,,,,
205,0,0,0,0,0,,,,,,,,,,,
206,0,0,0,0,0,,,,,,,,,,,
207,0,0,0,0,0,,,,,,,,,,,
208,0,0,0,0,0,,,,,,,,,,,
209,1,1,1,2,3,,,,,,,,,,,
210,1,1,1,2,3,,,,,,,,,,,
211,0,0,1,0,1,,,,,,,,,,,
212,1,1,1,2,3,,,,,,,,,,,
213,0,0,1,0,1,,,,,,,,,,,
214,1,0,0,1,1,,,,,,,,,,,
215,1,0,1,1,2,,,,,,,,,,,
216,1,0,1,1,2,,,,,,,,,,,
217,0,0,1,0,1,,,,,,,,,,,
218,1,0,1,1,2,,,,,,,,,,,
219,0,0,0,0,0,,,,,,,,,,,
220,1,0,0,1,1,,,,,,,,,,,
221,0,0,0,0,0,,,,,,,,,,,
222,0,0,0,0,0,,,,,,,,,,,
223,0,0,0,0,0,,,,,,,,,,,
224,1,1,1,2,3,,,,,,,,,,,
